Sector,Parameter,Direction,Baseline_Value,Perturbed_Value,Requested_Change_Percent,Actual_Change_Percent,Parameter_Changed,Clipped_Or_Rounded,N_Replications,Baseline_Typology,Typology,P_RCPI_Positive,RCPI_PI_2.5,RCPI_PI_97.5,Baseline_Mean_RCPI,Mean_RCPI,Delta_RCPI,Delta_RCPI_MCSE,Delta_RCPI_Valid_N,Baseline_Mean_MRR,Mean_MRR,Delta_MRR,Delta_MRR_MCSE,Delta_MRR_Valid_N,Baseline_Mean_VMD,Mean_VMD,Delta_VMD,Delta_VMD_MCSE,Delta_VMD_Valid_N,Baseline_Mean_CO2_Avoided,Mean_CO2_Avoided,Delta_CO2_Avoided,Delta_CO2_Avoided_MCSE,Delta_CO2_Avoided_Valid_N
Telecommunications,processing_cost,minus_20_percent,28.0,22.400000000000002,-19.999999999999996,-19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-10.839811717990505,-7.060711795582003,-8.681994683027533,-8.728746637246866,-0.04675195421933295,6.42998426949385e-05,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,processing_cost,plus_20_percent,28.0,33.6,19.999999999999996,19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-10.743780195315445,-6.982358108317989,-8.681994683027533,-8.641250479315087,0.04074420371244403,5.554703193474246e-05,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,disposal_cost,minus_20_percent,14.0,11.200000000000001,-19.999999999999996,-19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-10.805779441760372,-7.031683507958409,-8.681994683027533,-8.695766724656112,-0.013772041628578426,4.530222980973861e-05,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,disposal_cost,plus_20_percent,14.0,16.8,19.999999999999996,19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-10.776222497580338,-7.005599571640626,-8.681994683027533,-8.668806179791764,0.01318850323576882,4.3255030634725454e-05,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,new_mfg_cost,minus_20_percent,0.0,0.0,-19.999999999999996,,False,False,10000,Rainy,Rainy,0.0,-10.791655452299208,-7.018528486974016,-8.681994683027533,-8.681994683027533,0.0,0.0,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,new_mfg_cost,plus_20_percent,0.0,0.0,19.999999999999996,,False,False,10000,Rainy,Rainy,0.0,-10.791655452299208,-7.018528486974016,-8.681994683027533,-8.681994683027533,0.0,0.0,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,virgin_material_cost_per_unit,minus_20_percent,0.0,0.0,-19.999999999999996,,False,False,10000,Rainy,Rainy,0.0,-10.791655452299208,-7.018528486974016,-8.681994683027533,-8.681994683027533,0.0,0.0,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,virgin_material_cost_per_unit,plus_20_percent,0.0,0.0,19.999999999999996,,False,False,10000,Rainy,Rainy,0.0,-10.791655452299208,-7.018528486974016,-8.681994683027533,-8.681994683027533,0.0,0.0,10000,0.33445329350946534,0.33445329350946534,0.0,0.0,10000,0.03177056380275633,0.03177056380275633,0.0,0.0,10000,-1700.1463778417758,-1700.1463778417758,0.0,0.0,10000
Telecommunications,process_capacity,minus_20_percent,85.0,68.0,-19.999999999999996,-19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-9.931058362825278,-6.445363824445105,-8.681994683027533,-7.9803791678118285,0.7016155152157023,0.0007606124073159369,10000,0.33445329350946534,0.26756341464019034,-0.06688987886927505,9.659412130301869e-05,10000,0.03177056380275633,0.02541652481374231,-0.006354038989014017,9.161194954975289e-06,10000,-1700.1463778417758,-1402.862525042894,297.2838527988816,0.03456663225492085,10000
Telecommunications,process_capacity,plus_20_percent,85.0,102.0,19.999999999999996,19.999999999999996,True,False,10000,Rainy,Rainy,0.0,-11.214562161489768,-7.349398974128114,-8.681994683027533,-9.0641800831058,-0.38218540007826923,0.00036145952647104467,10000,0.33445329350946534,0.3706739246059398,0.0362206310964744,5.8843007540929326e-05,10000,0.03177056380275633,0.03521230557235554,0.0034417417695992085,5.64490416394314e-06,10000,-1700.1463778417758,-1861.194246805046,-161.04786896327045,0.13087302981570986,10000
